"BIO_DETAIL_ID","STATE_NAME","RECFIN_YEAR","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","CAUGHT_BY_OBSERVED_ANGLER","SOURCE_CODE"
43634515202,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",390,"","T",,"",390,"","",.9188,"","","RETAINED","","BIO"
43634515203,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",397,"","T",,"",397,"","",.9701,"","","RETAINED","","BIO"
43634515205,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",420,"","T",,"",420,"","",1.1523,"","","RETAINED","","BIO"
43634515206,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",428,"","T",,"",428,"","",1.2207,"","","RETAINED","","BIO"
43634515214,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",370,"","T",,"",370,"","",.7823,"","","RETAINED","","BIO"
43634515217,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",413,"","T",,"",413,"","",1.0946,"","","RETAINED","","BIO"
43634515218,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",424,"","T",,"",424,"","",1.1862,"","","RETAINED","","BIO"
43634515224,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",413,"","T",,"",413,"","",1.0946,"","","RETAINED","","BIO"
43634515656,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","NEARSHORE DEEP DEMERSAL","ROCKFISH","BLUE ROCKFISH","SEBASTES MYSTINUS",228,"","T",.25,"",228,"","",.2056,"","","RETAINED","","BIO"
43634515657,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","NEARSHORE DEEP DEMERSAL","ROCKFISH","BLUE ROCKFISH","SEBASTES MYSTINUS",265,"","T",.34,"",265,"","",.3263,"","","RETAINED","","BIO"
43634515659,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","NEARSHORE DEEP DEMERSAL","ROCKFISH","BLUE ROCKFISH","SEBASTES MYSTINUS",298,"","T",.44,"",298,"","",.4679,"","","RETAINED","","BIO"
43634515235,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",373,"","T",,"",373,"","",.8018,"","","RETAINED","","BIO"
43634515239,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",441,"","T",,"",441,"","",1.3376,"","","RETAINED","","BIO"
43634515243,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","SHELF ROCKFISH","ROCKFISH","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS",353,"","T",,"",353,"","",.6776,"","","RETAINED","","BIO"
